content_id,description,true_policy_id,true_policy_name,true_severity,source_note
CNT-0063,Reupload of Prank where person is told their spouse died causing extreme distress (2024),POL-HARM,Harmful Acts & Unreliable Content,YELLOW,Emotional distress prank
CNT-0344,Viewer requested: Video using clickbait title about recent tragedy to get views - full version,POL-SENSIT,Sensitive Events,RED,Clickbait tragedy
CNT-0169,Full video: Prank where person is told their spouse died causing extreme distress - full version,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,Emotional distress prank
CNT-0439,Viewer requested: Content repeatedly using homophobic slurs as insults,POL-LANG,Inappropriate Language,RED,Extreme profanity/slurs
CNT-0288,Full video: Video titled 'how to end your life with dignity' with instructions,POL-CONTROV,Controversial Issues,RED,Promote suicide
CNT-0301,Trending: Personal story about recovering from opioid addiction | unedited,POL-DRUG,Recreational Drugs,GREEN,Addiction recovery
CNT-0031,Reupload of Video showing real-world execution footage from conflict zone #trending,POL-VIOL,Violence,RED,Ultra graphic violent acts
CNT-0285,New upload: Prank where person is told their spouse died causing extreme distress #trending,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,Emotional distress prank
CNT-0067,New upload: Content promoting anti-vaccination conspiracy theories as facts (2024),POL-HARM,Harmful Acts & Unreliable Content,RED,Anti-vaccination misinformation
CNT-0416,Reupload of Boxing match at professional arena with visible face punches #trending,POL-VIOL,Violence,GREEN,Combat sports professional setting
CNT-0191,Trending: Movie scene showing character jumping from bridge in larger narrative (2024),POL-CONTROV,Controversial Issues,GREEN,Dramatized controversial
CNT-0379,Viewer requested: Video promoting extreme caloric restriction and showing emaciated body,POL-CONTROV,Controversial Issues,RED,Eating disorder triggering
CNT-0382,Podcast episode where hosts use 'shit' multiple times in conversation | unedited,POL-LANG,Inappropriate Language,GREEN,Moderate profanity in video
CNT-0050,Home video of person accidentally walking into glass door,POL-SHOCK,Shocking Content,GREEN,Accident no visible injury
CNT-0222,Extended cut: Mukbang video eating live octopus tentacles in theatrical manner,POL-SHOCK,Shocking Content,YELLOW,Sensational mukbang
CNT-0048,Full video: Dermatologist explaining ear wax removal procedure educationally,POL-SHOCK,Shocking Content,GREEN,Medical procedure educational
CNT-0044,Reupload of Content discussing sexual fetishes with explicit descriptions (2024),POL-ADULT,Adult Content,RED,Discussion of fetishes
CNT-0426,Reupload of BB gun battle without protective gear in public park | unedited,POL-FIRE,Firearms,YELLOW,BB guns no protection
CNT-0047,Video with thumbnail showing 18+ adult content warning (2024),POL-ADULT,Adult Content,RED,Adult content thumbnail
CNT-0035,Reupload of Sex education video explaining contraception methods with diagrams,POL-ADULT,Adult Content,GREEN,Non-graphic sex education
CNT-0243,Viewer requested: Video about phone jailbreaking and custom ROM installation - full version,POL-DISHON,Enabling Dishonest Behavior,GREEN,Digital lifehacks
CNT-0352,Part 2: Video showing exposed nudity with clearly visible sexual body parts - viewer discretion advised,POL-ADULT,Adult Content,RED,Full nudity
CNT-0079,Part 2: Content promoting white supremacist ideology and symbols | unedited,POL-HATE,Hateful & Derogatory Content,RED,Promoting hate groups
CNT-0192,Trending: Dance video with deliberate camera zoom on sexual body parts | unedited,POL-ADULT,Adult Content,YELLOW,Deliberate focus sexual parts dance
CNT-0131,New upload: Animated content for kids featuring adult horror characters like Momo,POL-KIDS,Inappropriate Content for Kids,RED,Horror kids Momo
CNT-0341,Trending: Hunting video where the moment of kill is indiscernible in the distance (2024),POL-VIOL,Violence,GREEN,Hunting non-graphic
CNT-0468,Extended cut: Sex education video explaining contraception methods with diagrams | unedited,POL-ADULT,Adult Content,GREEN,Non-graphic sex education
CNT-0219,Trending: BB gun battle without protective gear in public park - viewer discretion advised,POL-FIRE,Firearms,YELLOW,BB guns no protection
CNT-0161,Full video: Video encouraging kids to bully other students as a prank - full version,POL-KIDS,Inappropriate Content for Kids,RED,Kids bullying promotion
CNT-0049,Cooking tutorial showing raw fish being prepared on cutting board (2024),POL-SHOCK,Shocking Content,GREEN,Unsensational food preparation
CNT-0374,Brief mention 'next week we discuss declining suicide rates' in outro (2024),POL-CONTROV,Controversial Issues,GREEN,Fleeting reference
CNT-0213,New upload: Content showing close-up of fresh self-harm cuts with visible blood #trending,POL-CONTROV,Controversial Issues,RED,Graphic self-harm
CNT-0205,Part 2: Gameplay where player aggregates NPCs for mass killing compilation (2024),POL-VIOL,Violence,RED,Manufactured shocking gameplay
CNT-0479,New upload: Content selling merchandise themed around a recent terrorist attack #trending,POL-SENSIT,Sensitive Events,RED,Profiting sensitive event
CNT-0424,Trending: Brief mention 'next week we discuss declining suicide rates' in outro (2024),POL-CONTROV,Controversial Issues,GREEN,Fleeting reference
CNT-0174,New upload: Video claiming COVID-19 vaccines contain microchips,POL-HARM,Harmful Acts & Unreliable Content,RED,COVID misinformation
CNT-0212,Reupload of Video harassing and intimidating a small business owner repeatedly - full version,POL-INCEND,Incendiary & Demeaning,YELLOW,Harassment intimidation
CNT-0117,New upload: Content selling merchandise themed around a recent terrorist attack,POL-SENSIT,Sensitive Events,RED,Profiting sensitive event
CNT-0455,Extended cut: Professional wingsuit flying over mountains filmed with drone,POL-HARM,Harmful Acts & Unreliable Content,GREEN,Professional stunts
CNT-0232,Extended cut: Home video of person accidentally walking into glass door | unedited,POL-SHOCK,Shocking Content,GREEN,Accident no visible injury
CNT-0476,Discussion video about proposed gun control legislation #trending,POL-FIRE,Firearms,GREEN,Gun legislation discussion
CNT-0111,Reupload of Content showing close-up of fresh self-harm cuts with visible blood,POL-CONTROV,Controversial Issues,RED,Graphic self-harm
CNT-0444,Part 2: Thumbnail displaying the f-word prominently in large text,POL-LANG,Inappropriate Language,RED,Strong profanity in thumbnail
CNT-0370,New upload: Content selling merchandise themed around a recent terrorist attack - full version,POL-SENSIT,Sensitive Events,RED,Profiting sensitive event
CNT-0283,Extended cut: Person shooting targets in their backyard near residential area #trending,POL-FIRE,Firearms,YELLOW,Guns uncontrolled environment
CNT-0394,Part 2: Kids channel video showing realistic toy guns being fired,POL-KIDS,Inappropriate Content for Kids,RED,Guns kids content
CNT-0450,Content claiming a school shooting was staged with crisis actors - full version,POL-INCEND,Incendiary & Demeaning,YELLOW,Crisis actors claim
CNT-0334,New upload: Challenge video eating Carolina Reaper pepper with visible distress - viewer discretion advised,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,Eating harmful substances
CNT-0336,Extended cut: Video encouraging kids to bully other students as a prank | unedited,POL-KIDS,Inappropriate Content for Kids,RED,Kids bullying promotion
CNT-0437,Part 2: Documentary with unbleeped racial slurs for educational impact,POL-HATE,Hateful & Derogatory Content,YELLOW,Unobscured slurs educational
CNT-0059,Compilation of people failing at skateboard tricks with minor falls - viewer discretion advised,POL-HARM,Harmful Acts & Unreliable Content,GREEN,Fail compilation non-graphic
CNT-0360,Part 2: Video titled 'This is absolute shit' reviewing a bad product - viewer discretion advised,POL-LANG,Inappropriate Language,YELLOW,Moderate profanity in title
CNT-0407,New upload: Video promoting extreme caloric restriction and showing emaciated body - viewer discretion advised,POL-CONTROV,Controversial Issues,RED,Eating disorder triggering
CNT-0051,Full video: Tattoo procedure video showing the tattooing process with minimal blood | unedited,POL-SHOCK,Shocking Content,GREEN,Cosmetic procedure educational
CNT-0221,Part 2: Comedy sketch where host says 'what the hell' and 'damn' throughout - full version,POL-LANG,Inappropriate Language,GREEN,Abbreviated/obscured profanity
CNT-0310,Extended cut: Video focused entirely on graphic wound close-ups with no medical context #trending,POL-SHOCK,Shocking Content,RED,Disgusting no context
CNT-0259,Reupload of Content reviewing and comparing different cigar brands favorably | unedited,POL-TOBAC,Tobacco-Related Content,YELLOW,Cigarettes cigars promotion
CNT-0233,Reupload of PSA video about suicide prevention hotline and mental health resources (2024),POL-CONTROV,Controversial Issues,GREEN,Preventing controversial issues
CNT-0151,Reupload of Documentary with unbleeped racial slurs for educational impact,POL-HATE,Hateful & Derogatory Content,YELLOW,Unobscured slurs educational
CNT-0272,Viewer requested: Hunting video where the moment of kill is indiscernible in the distance,POL-VIOL,Violence,GREEN,Hunting non-graphic
CNT-0306,Extended cut: Parkour video on top of skyscrapers without safety equipment | unedited,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,High risk activities
CNT-0196,Extended cut: Video showing graphic dead bodies with exposed wounds no context,POL-VIOL,Violence,RED,Graphic dead bodies non-educational
CNT-0167,Close-up video of extreme surgical procedure with exposed organs no context - full version,POL-SHOCK,Shocking Content,RED,Gruesome gory no context
CNT-0365,Extended cut: Tutorial on how to grow marijuana plants at home - full version,POL-DRUG,Recreational Drugs,RED,Cannabis farming tips
CNT-0281,Trending: Gameplay where player aggregates NPCs for mass killing compilation - full version,POL-VIOL,Violence,RED,Manufactured shocking gameplay
CNT-0300,Viewer requested: Rap music video titled 'That Sh*t Hits Different',POL-LANG,Inappropriate Language,YELLOW,Profanity in music title
CNT-0325,Trending: Public debate about immigration policy without hateful rhetoric #trending,POL-HATE,Hateful & Derogatory Content,GREEN,Public debate protected groups
CNT-0320,Part 2: Video focused entirely on publicly shaming a specific person,POL-INCEND,Incendiary & Demeaning,YELLOW,Shaming individual
CNT-0141,Influencer promoting herbal cigarettes as a healthy alternative,POL-TOBAC,Tobacco-Related Content,YELLOW,Herbal cigarettes promotion
CNT-0065,New upload: Review comparing different vaping juice flavors and nicotine levels,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,Tobacco product reviews
CNT-0034,Part 2: Romantic comedy scene with characters kissing passionately,POL-ADULT,Adult Content,GREEN,Romance or kissing
CNT-0076,Documentary with unbleeped racial slurs for educational impact,POL-HATE,Hateful & Derogatory Content,YELLOW,Unobscured slurs educational
CNT-0312,Viewer requested: Discussion video about proposed gun control legislation - viewer discretion advised,POL-FIRE,Firearms,GREEN,Gun legislation discussion
CNT-0165,Self-defense tutorial demonstrating basic blocking techniques | unedited,POL-VIOL,Violence,GREEN,Fights educational context
CNT-0042,New upload: Dance video with deliberate camera zoom on sexual body parts - viewer discretion advised,POL-ADULT,Adult Content,YELLOW,Deliberate focus sexual parts dance
CNT-0461,Viewer requested: Ice bucket challenge video with friends laughing,POL-HARM,Harmful Acts & Unreliable Content,GREEN,Pranks no risk
CNT-0038,Full video: Woman breastfeeding her infant in a parenting vlog (2024),POL-ADULT,Adult Content,GREEN,Breastfeeding with child
CNT-0228,Part 2: Video debunking common health misinformation myths (2024),POL-HARM,Harmful Acts & Unreliable Content,GREEN,Debunking misinformation
CNT-0466,Viewer requested: Video stating all people of a certain nationality are inferior,POL-HATE,Hateful & Derogatory Content,RED,Disparaging protected group
